sgRNA	Gene	Day0	Day23
s_51476	SLC25A47	509.986480973	575.473281705
s_27397	IMMP1	918.845578725	906.55486525
s_50607	SHKBP1	418.645618709	412.238071991
s_35845	MYT1	1067.81817551	671.385495323
s_14801	CYP4F3	787.271241416	820.787212689
s_36449	NDUFA2	910.146448986	432.527194102
s_12712	CNPPD	652.434730456	890.876907255
s_3082	APOO	426.257357231	277.592079797
s_58061	TNFRSF11A	416.470836274	527.517174896
s_35316	MTR	543.695608713	475.872136795
s_44943	PTDSS1	307.731714532	485.094465027
s_60190	UBE2L6	2121.5002652	1955.13358528
s_5707	BRCA	781.834285329	557.950858064
s_28193	ITSN2	2083.44157259	2454.98377548
s_31948	LSM14	716.590812284	577.317747352
s_39956	PA2G4	750.299940024	435.293892572
s_24070	GRHPR	83.7291237418	36.8893129298
s_2808	AP2A1	955.816880118	958.199903352
s_37442	NOL1	1664.79595388	789.431296698
s_18210	ENDOD1	767.698199503	679.685590732
s_33079	MBTPS1	498.025177581	356.904102596
s_53170	SOX8	178.332159658	152.168415836
s_23061	GLS	1652.83465049	1624.05200174
s_12117	CLCN7	1396.21032318	1158.324426
s_7828	C3orf32	1985.57636302	2251.17032154
s_4256	ATP11C	1660.44638901	1408.2495211
s_39111	OR2T2	116.350860265	303.414598848
s_56828	TLR4	1111.31382421	866.898853851
s_2868	AP5S	1040.63339508	1212.73616257
s_42702	PLXNB	865.563409071	750.697518122
s_54691	SULT1E1	246.837806356	191.824427235
s_13054	COMMD7	1369.02554274	1231.18081903
s_7691	C2orf63	706.804291327	1091.92366272
s_52169	SLC6A	1060.20643699	1040.27862462
s_2978	APOA1BP	545.870391148	615.129293105
s_38595	OCRL	1747.4376864	1962.51144787
s_54407	STK3	4243.0005304	4062.4355864
s_8393	C8orf86	877.524712463	1211.81392974
s_34404	MORF4L	764.436025851	702.741411313
s_37793	NR1H2	232.701720529	325.548186606
s_32822	MARCH1	987.351225423	1003.38931169
s_62561	ZBP1	1573.45509162	1508.77289883
s_28272	JAZF1	1030.84687412	1229.33635339
s_29790	KLHL3	536.083870191	844.765266093
s_11030	CDT1	181.59433331	123.579198315
s_33681	MFAP1	142.448249483	59.945133511
s_35891	NAA11	1106.96425934	1092.84589555
s_18956	EXOC3L1	792.708197504	491.55009479
s_10369	CD300LB	624.162558803	613.284827458
s_46130	RARRES1	769.872981938	798.653624931
s_57112	TMEM115	679.619510891	1291.12595254
s_2847	AP4B	1412.52119144	1039.3563918
s_45496	QRFPR	1312.48119943	1278.21469302
s_36924	NFU1	2755.44934496	3013.85686637
s_57541	TMEM233	729.639506893	569.939884766
s_38950	OR14A16	1024.32252682	1070.71230779
s_10729	CDH1	3044.69540879	3701.84255251
s_7658	C2orf54	1027.58470047	1494.01717366
s_53432	SPDEF	617.638211498	434.371659749
s_8307	C7orf71	542.608217496	601.295800756
s_54462	STOM	813.368630635	799.575857754
s_35493	MXRA	853.602105679	718.419369308
s_678	ACOX2	1101.52730325	1370.43797534
s_17774	EIF2C1	875.349930028	1026.44513227
s_27092	IL17RA	1398.38510561	1749.4756657
s_18243	ENO	1657.18421536	2072.25715383
s_15090	DCAF1	1196.13033917	1470.03912025
s_19920	FAM24	206.604331311	369.815362121
s_28805	KCNN2	888.398624637	934.221849948
s_55771	TCEANC2	292.508237488	363.359732359
s_41546	PGPEP1L	2353.11459451	2562.8850158
s_13880	CSHL1	265.323457052	112.512404436
s_50988	SLC12A4	2635.83631104	2536.14026393
s_46728	REEP5	521.947784365	296.036736262
s_42776	PMS1	2782.63412539	3587.48568243
s_46267	RASSF5	1362.50119543	1766.99808934
s_60361	UBXN2	282.721716531	213.03578217
s_13671	CRLF1	556.744303322	636.340648039
s_63956	ZNF461	312.081279401	468.494274209
s_25853	HOXA9	131.574337309	65.4785304504
s_21452	FOXJ1	450.179964014	465.727575739
s_55904	TCP1	1603.9020457	349.52624001
s_28430	KAT6	1474.50249083	2051.96803172
s_1478	AGBL4	765.523417068	1130.6574413
s_18478	EPHX4	760.086460981	709.197041076
s_41892	PIGU	848.165149592	1123.27957871
s_54864	SWSAP1	903.622101681	521.983777957
s_14164	CTNNA	591.54082228	567.173186296
s_36126	NAT9	588.278648628	523.828243603
s_6176	C11orf35	351.227363229	351.370705657
s_60957	USP4	281.634325313	225.947041695
s_9223	CASP	3847.19012725	3787.61020507
s_18745	ESPN	527.384740452	553.339693947
s_57195	TMEM136	515.42343706	361.515266712
s_49034	SAPCD2	626.337341237	532.128339013
s_38567	OBSL1	3519.88537081	3633.59732359
s_9593	CCDC150	428.432139666	355.05963695
s_63684	ZNF32	670.920381152	618.818224398
s_13634	CRIP2	961.253836205	914.85496066
s_56198	TEX30	1002.57470247	1400.87165851
s_7778	C3	1163.50860265	709.197041076
s_26765	IFT20	3788.47100151	2973.27862214
s_18180	EMX1	1696.33029918	1047.65648721
s_32580	MAP1LC3A	722.027768371	786.664598228
s_28145	ITM2C	2026.89722928	2108.22423394
s_26986	IKBKE	2611.91370426	2800.8210842
s_63578	ZNF267	225.089982007	213.03578217
s_33501	MEOX1	1707.20421136	1568.71803234
s_40713	PCGF6	968.865574727	897.332537018
s_46061	RAP1GAP	1745.26290397	1248.70324267
s_49614	SEC14L5	351.227363229	329.237117899
s_5573	BM	81.554341307	47.0338739855
s_15848	DHRS	430.606922101	466.649808562
s_38010	NSD	1780.05942293	2534.29579828
s_54740	SUN	465.403441058	305.259064494
s_21286	FMO5	2094.31548476	2334.17127563
s_64830	ZNHIT2	701.36733524	684.296754848
s_25468	HK1	263.148674617	394.715648349
s_36915	NFU	377.324752447	197.357824175
s_55758	TCEAL	331.654321315	296.958969085
s_54788	SURF6	611.113864193	571.784350412
s_1744	AK7	368.625622707	254.536259216
s_10666	CDC5L	341.440842272	510.916984078
s_28579	KCND2	3665.59579394	4506.02957438
s_29204	KIAA1024L	145.710423135	247.15839663
s_58889	TRIM33	1814.85594188	1966.20037916
s_24140	GRIN	1628.9120437	1534.59541788
s_40760	PCNXL2	683.969075761	476.794369618
s_51454	SLC25A42	443.65561671	537.661735952
s_47504	RNF103	437.131269405	596.68463664
s_59248	TRPV4	3653.63449055	3539.52957562
s_33310	MEAF6	526.297349234	204.735686761
s_21730	FTMT	354.489536881	255.458492039
s_15237	DCT	752.474722459	664.007632737
s_17698	EHHADH	1570.19291796	1616.67413915
s_55339	TAMM41	1299.43250482	1212.73616257
s_48510	RSBN1L	604.589516889	656.629770151
s_8407	C9orf11	417.558227492	411.315839168
s_33820	MGAT5B	996.050355162	1141.72423518
s_27236	IL24	3092.54062236	2788.83205749
s_54216	STAM2	129.399554874	202.891221114
s_25537	HLA-E	2082.35418137	1951.44465399
s_46056	RAP1B	426.257357231	409.471373521
s_48476	RRP36	2409.65893782	3166.0252822
s_64988	ZXDC	2001.88723128	1425.77194474
s_326	ABHD5	1293.99554874	1094.69036119
s_4096	ATF	367.53823149	573.628816059
s_47200	RHOA	757.911678546	1024.60066663
s_52868	SNTG2	392.548229491	415.004770461
s_30961	LHFPL	1267.89815952	947.133109473
s_52430	SLMA	541.520826278	436.216125395
s_32000	LTB	303.382149662	237.013835574
s_1432	AFF4	752.474722459	964.655533115
s_43889	PRDM10	1578.8920477	1902.56631436
s_55255	TAF1	686.143858196	688.907918964
s_44142	PRKC	2777.19716931	3438.08396506
s_37685	NPM	326.217365228	521.061545134
s_53549	SPINK5	1176.55729726	1370.43797534
s_42208	PKP	2606.47674817	2931.7781451
s_48028	RP4-811H24.6	804.669500895	528.43940772
s_47825	RNPS	254.449544878	263.758587448
s_22171	GALNTL2	894.922971942	935.144082771
s_54646	SUDS3	536.083870191	236.091602751
s_45943	RAET1E	4021.17272204	3603.16364042
s_63305	ZNF133	367.53823149	407.626907875
s_24692	HAO2	421.907792361	206.580152407
s_18474	EPHX	408.859097752	502.616888669
s_13655	CRISPLD1	212.041287398	376.270991884
s_27315	IL36R	357.751710533	305.259064494
s_59072	TRIP12	222.915199572	336.614980485
s_7441	C20orf19	473.01517958	610.518128989
s_53832	SREK1	1405.99684413	1509.69513165
s_36959	NGEF	498.025177581	637.262880863
s_39701	OSM	358.839101751	340.303911778
s_24250	GSC2	221.827808355	66.4007632737
s_20701	FCHO	761.173852198	1058.72328109
s_53405	SPATS	1029.7594829	795.886926461
s_54732	SUN	2867.45064035	3724.89837309
s_52173	SLC6A7	277.284760444	186.291030296
s_50828	SIVA1	2945.74280801	3187.23663714
s_36866	NFIC	3553.59449855	3678.78673193
s_33504	MEOX2	1241.8007703	1384.27146769
s_54261	STARD7	619.812993933	320.937022489
s_57987	TMTC3	2119.32548276	2039.0567722
s_62292	XPO4	662.221251412	1004.31154451
s_57685	TMEM5	793.795588721	688.907918964
s_59694	TTLL12	317.518235488	334.770514838
s_50478	SH3GL2	918.845578725	806.031487517
s_33241	MDF	1321.18032917	1167.54675423
s_32429	MAGI2	495.850395146	514.605915371
s_4929	BAIAP2L1	441.480834275	619.740457221
s_50541	SHC1	3191.49322315	2727.96469116
s_52104	SLC5A8	502.374742451	639.107346509
s_12218	CLEC11A	325.12997401	296.958969085
s_117	ABCA12	1433.18162457	2050.12356607
s_14284	CTU1	171.807812353	121.734732668
s_10315	CD22	830.766890114	866.898853851
s_24624	H2AFZ	688.318640631	609.595896165
s_8496	C9orf50	1641.96073831	2399.64980608
s_13743	CRY2	433.869095753	499.850190199
s_42452	PLEK2	1296.17033117	1372.28244099
s_8535	C9orf86	2511.87371225	2042.74570349
s_46871	REXO4	393.635620708	572.706583236
s_12890	COL18A1	240.313459051	166.001908184
s_32968	MATR	1477.76466448	754.386449415
s_23268	GNB	2181.30678216	2255.78148566
s_10577	CDC123	1263.54859465	1550.27337588
s_53592	SPIRE2	427.344748448	504.461354315
s_56125	TESK1	538.258652626	329.237117899
s_739	ACSF	929.719490899	942.521945357
s_36682	NEK4	837.291237418	804.18702187
s_59520	TTC13	1018.88557073	1255.15887244
s_42712	PLXNC1	813.368630635	1027.3673651
s_32957	MATN2	2106.27678815	2596.08539744
s_52039	SLC4A7	378.412143664	567.173186296
s_63889	ZNF432	1154.80947291	806.95372034
s_11085	CEACAM6	896.010363159	853.065361502
s_40388	PAX2	1675.66986605	1920.088738
s_63698	ZNF326	788.358632634	818.020514219
s_20035	FAM59B	645.910383151	670.4632625
s_12721	CNPY2	470.840397145	238.858301221
s_10002	CCM2	3649.28492568	3889.97804845
s_32867	MARCKSL1	1380.98684613	1909.02194412
s_45927	RAD54L2	1056.94426334	1214.58062821
s_55347	TAN	587.19125741	652.018606035
s_50848	SIX5	680.706902109	639.107346509
s_60902	USP34	1030.84687412	732.252861657
s_31858	LRRIQ1	991.700790293	1189.68034199
s_3520	ARL1	1793.10811754	900.099235488
s_57855	TMEM9	556.744303322	486.938930674
s_25378	HIST1H2BB	434.95648697	592.073472524
s_36271	NCKAP1	260.973892182	337.537213308
s_55556	TBC1D22B	679.619510891	629.885018277
s_52245	SLC8A	758.999069763	1486.63931107
s_18464	EPHB	487.151265407	554.261926771
s_5378	BGLAP	745.950375154	469.416507032
s_58337	TOMM5	1846.39028719	1473.72805155
s_56680	TIMM8A	469.753005928	770.986640233
s_5565	BMPR2	1033.02165655	671.385495323
s_26180	HSD17B14	652.434730456	506.305819962
s_902	ACVR1C	2123.67504763	2251.17032154
s_31092	LIMS	131.574337309	157.701812775
s_56233	TFAP2E	612.201255411	557.02862524
s_26120	HS3ST	1582.15422135	1969.88931045
s_18648	ERI2	1268.98555074	1279.13692584
s_42173	PKI	780.746894112	544.117365715
s_50169	SF3A1	1719.16551475	1208.12499845
s_18281	ENPP	967.778183509	921.310590422
s_24995	HEBP1	1312.48119943	1685.84160089
s_24416	GTF2H5	960.166444987	999.700380398
s_36602	NECAB3	1006.92426734	765.453243294
s_54223	STAMBPL	2320.49285799	2371.06058856
s_63367	ZNF169	649.172556803	633.57394957
s_45364	PVRL4	766.610808285	682.452289202
s_55892	TCL1B	971.040357161	834.620705037
s_49452	SCUBE2	1942.08071432	1705.20849018
s_32233	LYSMD1	325.12997401	455.583014683
s_54668	SULT1A	661.133860195	632.651716746
s_43469	PPM1	711.153856197	697.208014374
s_27	AACS	342.528233489	481.405533734
s_21460	FOXJ	2208.49156259	1734.71994052
s_14157	CTLA4	1451.66727526	1458.97232637
s_39406	OR5M3	950.37992403	964.655533115
s_4642	AURK	363.18866662	154.935114305
s_48710	RUNX3	3147.99757445	3458.37308717
s_29854	KLK11	1212.44120743	1100.22375813
s_27518	INO8	672.007772369	970.188930054
s_39106	OR2T11	780.746894112	823.553911158
s_37268	NLRP6	677.444728456	689.830151788
s_28389	KANK3	600.239952019	377.193224707
s_49934	SERINC5	1563.66857066	1812.18749768
s_27739	IQCA1	269.673021922	546.884064185
s_20952	FGF6	1163.50860265	1039.3563918
s_25621	HMGCS2	932.981664552	492.472327613
s_64093	ZNF530	1826.81724528	1548.42891023
s_3008	APOBEC3D	1056.94426334	1079.93463602
s_18408	EPHA1	790.533415069	917.621659129
s_64911	ZSCAN20	648.085165586	377.193224707
s_7320	C1orf52	363.18866662	469.416507032
s_20535	FBXO3	841.640802288	900.099235488
s_32666	MAP3K9	738.338636632	548.728529831
s_42494	PLEKHF	372.975187577	290.503339322
s_50986	SLC12A3	1137.41121343	1268.99236479
s_23127	GLYCTK	1553.8820497	1596.38501704
s_58687	TRAFD	1127.62469247	1319.71517006
s_52476	SMAD	912.32123142	821.709445512
s_5890	BTBD17	330.566930098	419.615934577
s_26137	HSBP1L1	256.624327313	118.045801375
s_63821	ZNF39	3159.95887784	3344.93844991
s_43539	PPP1R13	1283.12163656	1651.71898643
s_52615	SMNDC	930.806882117	1164.78005576
s_32533	MANBA	404.509532882	570.862117589
s_10863	CDK17	1421.22032118	1336.31536088
s_41179	PDXK	581.754301323	418.693701753
s_1583	AGTRAP	1813.76855067	1769.76478781
s_32531	MAN2C1	3541.63319516	4352.93892572
s_49613	SEC14L5	1027.58470047	853.987594325
s_25307	HINFP	2197.61765042	1220.11402515
s_32541	MANEA	1385.336411	1574.25142928
s_18411	EPHA10	1322.26772039	1107.60162072
s_22344	GBA2	377.324752447	340.303911778
s_46281	RASSF6	383.849099751	283.125476736
s_10226	CD163	1167.85816752	1001.54484604
s_15180	DCLRE1	807.931674548	671.385495323
s_27885	IRG1	3551.41971611	3302.51574004
s_61425	VRK1	498.025177581	560.717556533
s_23509	GPATCH3	424.082574796	185.368797472
s_50967	SLC11A1	1309.21902578	1158.324426
s_23855	GPR5	1096.09034717	1247.78100985
s_54682	SULT1C2	1397.29771439	2084.24618054
s_32405	MAGEC3	1987.75114545	2238.25906202
s_60873	USP25	474.102570798	383.64885447
s_12760	CNTN	2951.17976409	2927.16698098
s_43532	PPP1R13B	189.206071832	165.079675361
s_62384	YBE	1690.8933431	897.332537018
s_14462	CXXC4	395.810403143	391.948949879
s_53890	SRP72	916.67079629	799.575857754
s_41930	PIK3C2B	790.533415069	1295.73711666
s_25008	HECTD	937.331229421	563.484255003
s_24423	GTF2IRD1	611.113864193	1031.05629639
s_34698	MRPL2	1034.10904777	1184.14694505
s_38016	NSD1	1347.27771839	1373.20467381
s_22418	GCC2	1694.15551675	1515.22852859
s_27179	IL1RN	646.997774369	616.973758751
s_28376	KALRN	318.605626706	301.570133201
s_1683	AIG1	297.945193575	180.757633356
s_46847	RETNLB	357.751710533	300.647900378
s_11477	CFHR5	432.781704536	322.781488136
s_33467	MEI1	1557.14422335	1353.83778452
s_47770	RNF4	890.573407072	1141.72423518
s_15123	DCAF8L2	141.360858265	109.745705966
s_44639	PSG3	1189.60599186	1182.3024794
s_56690	TIMMDC1	1304.86946091	620.662690044
s_4085	ATCAY	461.053876189	495.239026083
s_23281	GNE	6160.07124672	6927.81296822
s_14990	DARS2	246.837806356	159.546278421
s_22036	GAD	1031.93426534	1425.77194474
s_33353	MED14	469.753005928	146.635018896
s_36151	NBAS	989.526007858	207.50238523
s_60365	UBXN2B	344.703015924	260.069656155
s_47319	RIMS1	498.025177581	488.78339632
s_6891	C19orf21	445.830399145	614.207060282
s_9163	CASC1	2200.87982407	3000.02337402
s_476	AC091060.1	531.734305321	409.471373521
s_34213	MMP2	1450.57988405	1947.75572269
s_22671	GGA1	2652.1471793	2681.85305
s_33072	MBP	1429.91945092	1598.22948268
s_41123	PDLIM3	1689.80595188	1600.07394833
s_36216	NCAPH	1311.39380822	1226.56965492
s_38259	NUDT16	1566.93074431	1336.31536088
s_43009	POLH	1320.09293796	1074.40123908
s_30738	LDHD	1025.40991803	1090.07919708
s_24220	GRSF	1009.09904977	1117.74618177
s_11777	CHPT1	1432.09423335	1683.07490242
s_57826	TMEM88B	913.408622638	1251.46994114
s_49555	SDR16C5	560.006476974	553.339693947
s_58530	TPH2	483.889091755	660.318701444
s_24872	HCRTR	649.172556803	491.55009479
s_19859	FAM213B	453.442137667	487.861163497
s_6474	C14orf28	315.343453054	176.14646924
s_57103	TMEM110	307.731714532	349.52624001
s_58859	TRIM24	689.406031848	667.69656403
s_50526	SHARPIN	678.532119674	664.007632737
s_36053	NAP1L4	994.962963945	781.131201289
s_14821	CYP7B1	466.490832276	486.938930674
s_62236	XIRP1	419.733009926	397.482346819
s_8120	C6orf118	654.60951289	698.130247197
s_58822	TRIM11	577.404736453	404.860209405
s_56359	TGFBR2	2478.16458451	2917.02241993
s_16255	DMRT	1131.97425734	1147.25763212
s_41290	PER1	41.3208662622	72.8563930364
s_18002	ELMO	872.087756376	904.710399604
s_27905	IRX	1021.06035316	939.755246887
s_5976	BTN3A	1751.78725127	1824.17652438
s_2575	ANKRD42	566.530824279	374.426526238
s_39848	OXNAD1	948.205141596	882.576811846
s_4766	B3GAT3	886.223842202	585.617842761
s_48326	RPS5	1104.7894769	283.125476736
s_38638	ODZ1	911.233840203	785.742365405
s_3459	ARHGEF40	1238.53859665	1619.44083762
s_47816	RNPC	871.000365158	652.018606035
s_31936	LSM11	380.586926099	122.656965492
s_43466	PPM1F	500.199960016	537.661735952
s_34514	MPP2	446.917790362	404.860209405
s_39711	OSR	975.389922031	1000.62261322
s_37358	NMRAL	807.931674548	923.155056069
s_10362	CD300C	723.115159588	537.661735952
s_22876	GJB	1543.00813753	1533.67318506
s_45534	R3HCC	1035.19643899	1141.72423518
s_36168	NBL1	1092.82817351	929.610685832
s_46825	RERGL	1138.49860465	1283.74808996
s_41837	PIEZO1	183.769115745	154.935114305
s_21543	FPGT-TNNI3	6368.85036046	7263.50571588
s_20433	FBXL14	310.993888184	272.058682857
s_60721	UPK3	2334.62894381	2576.71850815
s_51797	SLC36A4	642.648209499	518.294846664
s_8094	C5orf63	1365.76336909	1680.30820395
s_61699	WDR3	182.681724528	60.8673663342
s_33444	MEF2D	213.128678616	176.14646924
s_55149	TAB1	1600.63987205	1514.30629577
s_22088	GAL3ST	195.730419137	55.3339693947
s_46849	RETNLB	756.824287329	592.073472524
s_51718	SLC35A5	612.201255411	592.995705347
s_27833	IRAK3	1207.00425134	1344.61545629
s_40994	PDE6B	2416.18328512	2545.36259216
s_6821	C17orf85	416.470836274	369.815362121
s_60421	UEVLD	5284.72131669	6957.32441856
s_29371	KIAA201	2340.0658999	1879.51049377
s_57330	TMEM174	1565.84335309	1513.38406295
s_24608	H2AF	514.336045843	432.527194102
s_15913	DHX32	657.871686543	685.218987671
s_45035	PTH1	436.043878188	424.227098693
s_16819	DPYSL	836.203846201	582.851144291
s_31854	LRRFIP	3473.12754846	4261.63787622
s_62347	XYLB	893.835580724	711.041506722
s_13658	CRISPLD2	271.847804357	225.024808872
s_52407	SLIT2	779.659502894	859.520991265
s_6105	C10orf54	588.278648628	346.75954154
s_56416	TH	3343.72799359	4090.10257109
s_39286	OR52B2	333.82910375	262.836354625
s_38317	NUDT9	405.5969241	433.449426925
s_54699	SULT2B1	1145.02295195	834.620705037
s_56975	TMCC2	1052.59469847	1221.9584908
s_49871	Sep-04	1926.85723728	2362.76049316
s_7807	C3orf2	176.157377223	87.6121182083
s_29764	KLHL2	845.990367157	797.731392107
s_61369	VPS33A	966.690792292	960.966601822
s_36356	NCSTN	458.879093754	498.927957376
s_20182	FAM83D	480.626918102	329.237117899
s_60912	USP3	183.769115745	158.624045598
s_48088	RPGRIP1	737.251245415	805.109254693
s_6566	C15orf5	1365.76336909	1092.84589555
s_31619	LRRC15	687.231249413	777.442269996
s_3501	ARID4B	917.758187508	1158.324426
s_23255	GNB1	492.588221494	579.162212998
s_49612	SEC14L5	371.88779636	590.229006877
s_56641	TIGI	799.232544808	720.263834955
s_13543	CREB3	183.769115745	222.258110402
s_31412	LPHN	851.427323245	1068.86784214
s_48422	RRAGB	2006.23679615	2742.72041633
s_56608	TIAM	1304.86946091	1253.31440679
s_33767	MFSD	650.259948021	470.338739855
s_15476	DDX59	603.502125671	183.524331826
s_8031	C5orf2	2008.41157859	1669.24141007
s_9126	CARD	1176.55729726	1459.8945592
s_44063	PRKAC	1066.73078429	1010.76717428
s_2583	ANKRD45	695.930379153	747.930819652
s_23154	GMEB	1761.57377223	1497.70610495
s_10112	CCNT2	3292.62060637	3753.48759061
s_29679	KLHDC	444.743007927	576.395514528
s_52729	SNAP47	525.209958017	554.261926771
s_63593	ZNF276	56.5443433062	78.3897899759
s_8388	C8orf8	1001.48731125	739.630724243
s_33337	MED11	595.890387149	527.517174896
s_36020	NALCN	665.483425065	397.482346819
s_57107	TMEM110-MUSTN1	668.745598717	716.574903662
s_21634	FRMPD2	425.169966014	293.270037792
s_62080	WNT3A	573.055171584	417.77146893
s_62872	ZDHHC18	389.286055839	501.694655846
s_45219	PTPRM	1380.98684613	1266.22566632
s_4406	ATP5S	2667.37065635	3005.55677096
s_11249	CEP104	1038.45861264	760.842079178
s_49173	SCAND3	926.457317247	1050.42318568
s_20199	FAM84	571.967780366	498.927957376
s_19694	FAM189A	500.199960016	472.183205502
s_4443	ATP6V0D1	416.470836274	194.591125705
s_8558	CA11	692.6682055	669.541029676
s_9422	CCBL1	2194.35547677	2784.22089338
s_27143	IL1B	1342.92815352	1716.27528406
s_16280	DMRTC2	906.884275333	784.820132582
s_14868	CYYR1	508.899089755	487.861163497
s_9183	CASKIN2	762.261243416	711.041506722
s_11883	CHST2	67.4182554804	56.256202218
s_19513	FAM160B1	1992.10071032	2076.86831795
s_19636	FAM178B	1041.72078629	1106.67938789
s_54294	STAT5B	425.169966014	397.482346819
s_1658	AIF1	702.454726457	882.576811846
s_42028	PIP4K2A	519.77300193	729.486163187
s_56171	TEX15	824.242542809	826.320609628
s_54625	STY	1153.72208169	1219.19179233
s_41044	PDGFB	1504.94944492	1450.67223097
s_17089	DUSP2	692.6682055	679.685590732
s_14266	CTSW	430.606922101	372.582060591
s_53348	SPATA21	2151.94721929	2382.12738244
s_60427	UFC1	1676.75725727	1475.57251719
s_43097	POLR2M	1003.66209368	689.830151788
s_26239	HSF	2237.85112546	2276.99284059
s_30221	KRTAP13-2	1392.94814952	1183.22471222
s_2071	ALLC	649.172556803	365.204198005
s_39241	OR51A4	2636.92370226	2510.31774487
s_19128	F8	2427.05719729	2543.51812651
s_54151	ST6GALNAC	449.092572797	253.614026393
s_45606	RAB18	1508.21161857	1318.79293724
s_61535	VWA5B2	145.710423135	119.890267022
s_8764	CACNG	619.812993933	415.004770461
s_52235	SLC7A8	198.992592789	213.03578217
s_54848	SVIP	885.136450985	1264.38120067
s_56484	THEG	781.834285329	545.961831361
s_29930	KLRD	1975.78984206	2191.22518803
s_43254	POU6F2	787.271241416	888.110208785
s_38400	NUP85	699.192552805	559.79532371
s_53146	SOX	367.53823149	466.649808562
s_49725	SELPLG	1915.9833251	1303.11497925
s_17289	EBF2	526.297349234	639.107346509
s_845	ACTN4	342.528233489	379.037690354
s_3395	ARHGEF10L	1662.62117144	1306.80391054
s_54597	STX8	1517.99813953	1945.91125705
s_48161	RPL2	162.021291396	231.480438635
s_2516	ANKRD24	234.876502964	186.291030296
s_40724	PCK2	2026.89722928	2262.23711542
s_46025	RANBP17	683.969075761	1071.63454061
s_61589	WBP11	695.930379153	792.197995168
s_38968	OR1C1	882.96166855	824.476143982
s_23992	GPX7	690.493423066	836.465170684
s_18236	ENKU	708.979073762	829.087308098
s_64274	ZNF600	866.650800289	895.488071371
s_53117	SOWAHC	272.935195574	254.536259216
s_29303	KIAA1522	2158.47156659	2569.34064556
s_46746	REG3	852.514714462	933.299617125
s_16340	DNAH9	392.548229491	663.085399914
s_34413	MORN	938.418620639	1079.0124032
s_25395	HIST1H2B	370.800405142	326.470419429
s_27274	IL3	1803.98202971	1222.88072362
s_4943	BAMBI	197.905201572	154.012881482
s_45288	PTX4	2038.85853267	2224.42556967
s_48836	S100A	1369.02554274	1654.4856849
s_3728	ARRDC4	1065.64339308	1268.07013196
s_3544	ARL16	929.719490899	611.440361812
s_54274	STAT	2761.97369226	2962.21182826
s_50078	SESN2	871.000365158	847.531964563
s_21042	FHL	557.83169454	729.486163187
s_7519	C21orf6	1224.40251082	1479.26144849
s_16066	DKKL1	1289.64598387	1501.39503624
s_29980	KPNA3	402.334750448	347.681774364
s_31806	LRRC71	458.879093754	353.215171303
s_45161	PTPN6	1346.19032717	1286.51478843
s_22611	GEN	327.304756445	353.215171303
s_5457	BIRC6	1029.7594829	1126.96851001
s_7933	C4orf22	1092.82817351	1251.46994114
s_18599	ERCC4	1590.85335109	932.377384301
s_29961	KNDC1	689.406031848	810.642651633
s_47608	RNF150	695.930379153	852.143128679
s_52116	SLC6A11	319.693017923	428.838262809
s_14602	CYC1	678.532119674	416.849236107
s_6085	C10orf2	829.679498896	548.728529831
s_11576	CHCHD6	274.022586791	296.036736262
s_56686	TIMM	1104.7894769	1249.6254755
s_56833	TLR	614.376037846	626.196086984
s_37864	NR4A3	1615.8633491	2021.53434855
s_32352	MAF	478.452135667	627.118319807
s_20621	FBXO8	989.526007858	755.308682238
s_50644	SHROOM2	1402.73467048	1337.23759371
s_7242	C1orf204	674.182554804	651.096373211
s_9132	CARHSP	848.165149592	1066.10114367
s_15896	DHX16	305.556932097	265.603053095
s_49578	SEBOX	737.251245415	1045.81202156
s_52817	SNRNP40	770.960373155	803.264789047
s_8657	CABYR	1881.18680615	2336.01574128
s_17218	DZANK1	651.347339238	774.675571526
s_27381	ILF3	4950.89221294	4602.86402082
s_52096	SLC5A	720.940377153	655.707537328
s_50783	SIRPB2	726.377333241	488.78339632
s_28893	KCTD15	221.827808355	207.50238523
s_22277	GAS6	194.643027919	223.180343225
s_4138	ATG1	1265.72337708	1413.78291804
s_64938	ZSCAN5A	694.842987935	835.54293786
s_36122	NAT8	399.072576795	559.79532371
s_16030	DIS3L	1117.83817151	937.910781241
s_23033	GLRA2	1232.01424934	1814.03196332
s_5105	BCAS2	988.43861664	159.546278421
s_25492	HLA-C	345.790407141	444.516220804
s_14516	CXorf5	228.352155659	216.724713463
s_45072	PTOV1	836.203846201	770.06440741
s_51979	SLC45A3	319.693017923	465.727575739
s_54949	SYNE2	3339.37842872	3402.11688495
s_7336	C1orf61	554.569520887	346.75954154
s_23067	GLT1D1	80.4669500895	38.7337785763
s_32780	MAPKAPK	2262.86112346	1372.28244099
s_62263	XKR8	666.570816282	506.305819962
s_34691	MRPL2	792.708197504	892.721372902
s_63863	ZNF419	10701.0169707	8819.3124887
s_30379	LACE1	179.419550875	133.723759371
s_34578	MRA	1141.7607783	1438.68320426
s_32573	MAP1A	545.870391148	509.072518432
s_8946	CAMLG	960.166444987	1251.46994114
s_61308	VMO1	722.027768371	658.474235797
s_27626	INTS1	1576.71726527	1013.53387275
s_25283	HIC	288.158672618	218.569179109
s_49462	SCYL2	967.778183509	927.766220185
s_4607	ATXN3L	729.639506893	716.574903662
s_28038	ITGAE	788.358632634	868.743319497
s_4228	ATOH1	274.022586791	255.458492039
s_11176	CEMP	1062.38121943	1163.85782294
