sgRNA	Gene	Day0	Day23
s_53526	SPIN	1251.58729126	1274.52576173
s_18382	EPB42	1639.78595588	1245.01431138
s_10428	CD40LG	1052.59469847	834.620705037
s_51480	SLC25A48	488.238656624	237.013835574
s_14856	CYTH4	859.039061767	775.59780435
s_24921	HDAC9	5579.40433661	5890.30104207
s_25733	HNRNPCL1	873.175147593	706.430342606
s_37778	NR0B2	745.950375154	423.30486587
s_42093	PITRM1	2723.91499965	2661.56392789
s_61591	WBP1L	301.207367227	568.095419119
s_56399	TGM6	1643.04812953	1895.18845177
s_53921	SRRD	1113.48860664	798.653624931
s_13099	COPS5	511.07387219	636.340648039
s_45601	RAB15	790.533415069	766.375476117
s_57216	TMEM144	296.857802357	471.260972678
s_55372	TAPBPL	1026.49730925	1210.89169692
s_46378	RBM14	4737.76353433	1196.13597175
s_32066	LURAP1	363.18866662	176.14646924
s_20836	FEZ2	2491.21327912	2799.89885137
s_59611	TTC39	764.436025851	992.322517812
s_51841	SLC38A9	740.513419067	651.096373211
s_13693	CRNN	872.087756376	976.644559817
s_47138	RGSL1	4746.46266406	5641.29817979
s_31144	LIPF	1092.82817351	1180.45801375
s_34027	MKL	942.768185508	1123.27957871
s_47063	RGS1	240.313459051	397.482346819
s_12532	CMTM1	1926.85723728	1671.08587572
s_35972	NAD	2853.31455453	2442.99474878
s_49608	SEC14L4	2370.51285399	1994.78959668
s_36517	NDUFB4	2529.27197173	3130.98043492
s_39888	P2RX2	5407.59652426	5834.96707267
s_28901	KCTD1	600.239952019	653.863071681
s_28349	JTB	637.211253412	454.66078186
s_20129	FAM73A	1024.32252682	967.422231585
s_51403	SLC25A29	1008.01165855	1043.96755591
s_751	ACSL	439.30605184	211.191316523
s_2369	ANGPTL5	990.613399075	1559.49570411
s_51258	SLC22A23	1881.18680615	2371.06058856
s_13624	CRIM1	329.47953888	306.181297318
s_39228	OR4P4	201.167375224	243.469465337
s_123	ABCA2	330.566930098	553.339693947
s_62464	YPEL3	2186.74373824	1943.14455858
s_18553	ERAP1	2854.40194574	2712.28673317
s_22904	GJD4	478.452135667	560.717556533
s_25504	HLA-DOA	599.152560802	521.983777957
s_15025	DBH	629.59951489	734.097327303
s_32644	MAP3K	1963.82853867	2360.91602751
s_39542	OR8K5	1106.96425934	1120.51288024
s_53525	SPIN	621.987776368	412.238071991
s_30135	KRT71	240.313459051	234.247137104
s_62544	ZAR1L	916.67079629	1216.42509386
s_37632	NPDC1	549.1325648	505.383587139
